SUBJECT,L1per_lo-hi,L1sem_lo-hi,L2per_lo-hi,L2sem_lo-hi,gender,AoA_L2,age,bestL1,bestL2,interL1,interL2,selfperceptionL1,selfperceptionL2,expoL1,expoL2,ID,region
010EB,-0.0538,0.2921,0.2316,-0.015399999999999997,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,58.33,35.0,3501.0,orbitalis
011EB,-0.0521,0.0121,-0.0247,0.1955,1.0,0.0,33.0,77.0,65.0,5.0,4.0,8.0,6.0,98.33,1.67,439.0,orbitalis
015EB,-0.233,0.025,0.1672,-0.2647,2.0,0.0,22.0,74.0,60.0,5.0,5.0,10.0,10.0,53.33,36.67,2218.0,orbitalis
016EB,-0.089,-0.0515,-0.1483,0.2484,2.0,2.0,20.0,77.0,71.0,5.0,4.0,9.0,8.0,60.0,42.0,3789.0,orbitalis
017EB,-0.046400000000000004,-0.009299999999999996,0.014,0.22349999999999998,1.0,2.0,21.0,77.0,72.0,5.0,4.0,10.0,8.0,51.67,38.33,4481.0,orbitalis
018EB,0.056100000000000004,0.0503,-0.006500000000000001,0.1161,1.0,3.0,22.0,71.0,68.0,5.0,5.0,10.0,10.0,83.33,15.0,2799.0,orbitalis
01EB,0.4008,0.1331,0.43520000000000003,0.37179999999999996,2.0,1.0,36.0,77.0,60.0,5.0,4.0,8.0,7.0,65.0,13.33,1417.0,orbitalis
020EB,0.0767,-0.0546,0.2511,0.32130000000000003,2.0,2.0,25.0,75.0,61.0,5.0,4.0,9.0,9.0,55.0,26.67,1897.0,orbitalis
021EB,-0.1487,0.1095,0.4347,0.482,2.0,2.0,25.0,75.0,61.0,5.0,4.0,10.0,8.0,55.0,26.67,4189.0,orbitalis
023EB,0.039900000000000005,-0.0911,0.0461,0.050499999999999996,2.0,0.0,35.0,77.0,74.0,5.0,3.0,10.0,8.0,65.0,26.67,1720.0,orbitalis
024EB,0.042800000000000005,0.1576,0.0299,0.2714,1.0,2.0,29.0,77.0,58.0,5.0,4.0,10.0,9.0,76.67,23.33,3122.0,orbitalis
02EB,-0.16849999999999998,0.2074,0.2106,0.23950000000000002,1.0,0.0,23.0,77.0,70.0,5.0,5.0,10.0,8.0,63.33,18.33,2138.0,orbitalis
030LBB,0.0353,-0.1983,0.08660000000000001,0.2614,1.0,8.0,22.0,75.0,65.0,5.0,5.0,10.0,9.0,55.0,37.5,2519.0,orbitalis
032LBB,-0.012400000000000001,0.0378,0.2247,0.2923,1.0,8.0,23.0,77.0,74.0,5.0,5.0,10.0,9.0,68.33,30.0,2860.0,orbitalis
